clip number, source url, accessed, created date
40-1, https://www.youtube.com/watch?v=alY46lqTwtM&t=200s&ab_channel=GlobalNews, 28-01-2023, 25-12-2021
40-2,https://www.youtube.com/watch?v=E6l0ObY2XVM&ab_channel=TheLateShowwithStephenColbert, 28-01-2021, 1-01-2023
40-3, https://www.youtube.com/watch?v=RXo7w9uhSQ0&ab_channel=BBCNews, 28-01-2021, 15-10-2021

41-1,https://www.youtube.com/watch?v=a3ZXKp8esQE&ab_channel=TODAY,28-02-2021,27-02-2020
41-2,https://www.youtube.com/watch?v=Rxt9gdjVWdM&ab_channel=CNBCInternationalTV,28-02-2021,19-02-2020
41-3,https://www.youtube.com/watch?v=83t0BAAc5PA&ab_channel=TheLateLateShowwithJamesCorden, 28-02-2021, 01-02-2022
41-3,https://www.youtube.com/watch?v=IJxVMuzS-Sw&ab_channel=BritishVogue,28-02-2021, 17-03-2022

42-1,https://www.youtube.com/watch?v=h5aSa4tmVNM&t=157s&ab_channel=ABCNews,28-02-2011
42-1,https://www.youtube.com/watch?v=ng5WSbZ9M08&ab_channel=TODAY,17-11-2015
42-2,https://www.youtube.com/watch?v=Va4wN1c-7b8&ab_channel=Denver7,27-02-2012

43-1,https://www.youtube.com/watch?v=1b3evLfEdjY&ab_channel=JimmyKimmelLive,7-10-2016
43-1,https://www.youtube.com/watch?v=d3H1Zx2Lix0&t=208s&ab_channel=TheView
